Year,GBR,NLD,FRA,BEL,SWE,DEU,ESP,PRT,POL,ITA,CHN,IND,JPN
1803,3252.0,4244.206773618538,1737.1416122010803,2330.564516129032,1403.0,1802.9661945267862,1265.6273884014038,1427.301835414,844.1818181818181,2517.2728152833342,918.6813,1023.0,1316.6399999999999
1804,3204.0,4445.6327985739745,2008.142986490799,2333.6129032258063,1312.0,1808.3966388359293,1302.4116759693848,1470.5849302235001,824.9090909090909,2523.6322413429975,916.1554,1018.0,1316.52
1805,3347.0,4184.491978609625,1891.73696437215,2336.6612903225805,1395.0,1725.1097210788378,1429.9411475894708,1444.99068825475,805.6363636363636,2524.6921456862747,913.6295,1013.0,1316.55
1806,3287.0,4215.686274509803,1861.9405609035512,2339.7096774193546,1411.0,1738.1777828105276,1504.8413713848993,1412.2710588805,786.3636363636364,2523.6322413429975,911.1036,1008.0,1316.58
1807,3454.0,3862.7450980392155,1812.0725599964453,2342.7580645161293,1352.0,1740.1248622861863,1523.983596965697,1422.08962161175,767.0909090909091,2524.6921456862747,908.5777,1003.0,1316.61
1808,3250.0,2632.0,2022.1609462729605,2345.8064516129034,1280.0,1796.307682798323,1544.6891623853626,1446.0949021155002,747.8181818181818,2519.3926239698885,906.0518,998.0,1316.6399999999999
1809,3309.0,2686.1428571428573,2010.8483615151426,2348.8548387096776,1221.0,1836.7467688434992,1399.7476085433898,1421.00695252425,728.5454545454545,2514.0931022535024,903.5259,993.0,1316.67
1810,3478.0,2740.285714285714,1916.6486439599378,2351.9032258064517,1320.0,1920.2607020342782,1326.0894056070267,1176.5453996205,709.2727272727273,2509.853484880394,901.0,988.0,1316.7
1811,3397.0,2794.4285714285716,1765.3040371269497,2354.951612903226,1417.0,1898.1326411029422,1265.1387151029746,1072.3851056555,690.0,2503.4940588207305,899.1,983.0,1316.73
1812,3207.0,2848.5714285714284,1601.3052843144017,2358.0,1328.0,1842.7404007218909,1318.4275898613264,1114.2234264980002,663.0,2503.4940588207305,897.2,978.4,1316.76
1813,3328.0,2902.714285714286,1858.4980509565842,2358.0,1352.0,1763.2544864781366,1358.647323501331,1226.887726519,679.0,2501.3742501341762,895.3,973.8,1316.79
1814,3204.0,2956.8571428571427,1990.3742128337933,2358.0,1363.0,1868.2655282308945,1429.7104007765533,1265.51400050075,720.0,2503.4940588207305,893.4,969.2,1316.82
1815,3489.0,3011.0,1786.348619458091,2358.0,1411.0,1917.8316198236707,1499.961869368773,1326.918447582,733.0,2504.5539631640077,891.5,964.6,1316.85
1816,3250.0,2869.0,1583.7054074400476,2358.0,1438.0,1829.2746191021597,1510.8434823268112,1372.19171464375,736.0,2499.2544414476215,889.6,960.0,1316.88
1817,3253.0,2898.0,1433.1451954987924,2358.0,1396.0,1746.2889995565654,1463.1130531583772,1377.90711560775,746.0,2505.613867507285,887.7,955.4,1316.91
1818,3201.0,2942.0,1605.5800097220392,2358.0,1407.0,1867.869828426712,1520.324683717744,1464.7978495605,762.0,2524.692145686274,885.8,950.8,1316.94
1819,3103.0,2807.0,1660.4760473562249,2358.0,1395.0,1957.744502300739,1555.4439184223534,1611.277075135,792.0,2526.8119543728285,883.9,946.2,1316.97
1820,3306.0,3006.0,1809.1044968870872,2358.0,1415.0,2041.1140949860194,1557.9081582883766,1665.4261933399998,818.0,2522.5723369997195,882.0,941.6,1317.0
1821,3308.0,2947.0,1951.8643455708705,2371.153846153846,1457.0,2060.627987832256,1578.1992856241748,1648.1022760475003,834.0,2521.5124326564423,878.4,937.0,1321.568076923077
1822,3315.0,2974.0,1874.7687119590742,2384.3076923076924,1465.0,2045.651248396832,1587.3619448619622,1636.7555240400002,850.0,2521.5124326564423,874.8,937.8,1326.1361538461538
1823,3359.0,3121.0,1933.7330429497054,2397.4615384615386,1449.0,2028.8698271589956,1620.3063163030754,1605.4578428525,870.0,2520.452528313165,871.2,938.6,1330.7042307692307
1824,3492.0,3100.0,1985.8120530268163,2410.6153846153848,1487.0,2135.2432933787904,1634.338210326048,1538.1290121470001,888.0,2532.111476089214,867.6,939.4,1335.2723076923078
1825,3521.0,3022.0,1898.2639946956106,2423.769230769231,1527.0,2141.0433332888456,1472.9402667852032,1502.63334186875,897.0,2541.650615178709,864.0,940.2,1339.8403846153847
1826,3290.0,3068.0,1948.87349872885,2436.923076923077,1532.0,2144.8382866302395,1587.3630788847752,1558.1464885577502,902.0,2537.4109978056003,860.4,941.0,1344.4084615384616
1827,3499.0,3250.0,1908.2010280541444,2450.076923076923,1458.0,2100.242817689551,1617.0529994590643,1476.5341154427501,921.0,2529.99166740266,856.8,941.8,1348.9765384615384
1828,3461.0,3319.0,1896.1698186141543,2463.230769230769,1486.0,2046.0915846166758,1607.2123225885048,1490.422637431,942.0,2523.6322413429966,853.2,942.6,1353.5446153846153
1829,3443.0,3325.0,1945.7480848302057,2476.3846153846152,1506.0,2069.0475007781224,1636.2802459794266,1646.8715092375,953.0,2516.212910940056,849.6,943.4,1358.1126923076922
